state,population,lat,lon,probability
ALABAMA,5108468,32.377,-86.3,0.587
ARIZONA,7431344,33.4484,-112.074,0.0001
ARKANSAS,3067732,34.7465,-92.2896,0.5887
CALIFORNIA,38965193,38.5816,-121.4944,0.4331
COLORADO,5877610,39.7392,-104.9903,0.0076
CONNECTICUT,3617176,41.7658,-72.6734,0.0378
DELAWARE,1031890,39.1582,-75.5244,0.0957
FLORIDA,22610726,30.4383,-84.2807,0.1494
GEORGIA,11029227,33.749,-84.388,0.3572
IDAHO,1964726,43.615,-116.2023,0.2622
ILLINOIS,12549689,39.7983,-89.6544,0.4893
INDIANA,6862199,39.7684,-86.1581,0.4477
IOWA,3207004,41.5868,-93.625,0.5272
KANSAS,2940546,39.0486,-95.677,0.4236
KENTUCKY,4526154,38.2009,-84.8733,0.4535
LOUISIANA,4573749,30.4515,-91.1871,0.4644
MAINE,1395722,44.3106,-69.7795,0.002
MARYLAND,6180253,38.9784,-76.4922,0.1113
MASSACHUSETTS,7001399,42.3601,-71.0589,0.0508
MICHIGAN,10037261,42.7325,-84.5555,0.4552
MINNESOTA,5737915,44.9537,-93.09,0.026
MISSISSIPPI,2939690,32.2988,-90.1848,0.3209
MISSOURI,6196156,38.5767,-92.1735,0.2223
MONTANA,1132812,46.5891,-112.0391,0.2186
NEBRASKA,1978379,40.8136,-96.7026,0.0977
NEVADA,3194176,39.1638,-119.7674,0.2365
NEW HAMPSHIRE,1402054,43.2081,-71.5376,0.3225
NEW JERSEY,9290841,40.2206,-74.7699,0.0521
NEW MEXICO,2114371,35.687,-105.9378,0.4904
NEW YORK,19571216,42.6526,-73.7562,0.3527
NORTH CAROLINA,10835491,35.7796,-78.6382,0.4478
NORTH DAKOTA,783926,46.8083,-100.7837,0.1232
OHIO,11785935,39.9612,-82.9988,0.0624
OKLAHOMA,4053824,35.4676,-97.5164,0.4516
OREGON,4233358,44.9429,-123.0351,0.4561
PENNSYLVANIA,12961683,40.2732,-76.8867,0.1235
RHODE ISLAND,1095962,41.8236,-71.4222,0.1643
SOUTH CAROLINA,5373555,34.0007,-81.0348,0.4716
SOUTH DAKOTA,919318,44.3683,-100.351,0.1817
TENNESSEE,7126489,36.1627,-86.7816,0.2316
TEXAS,30503301,30.2672,-97.7431,0.4505
UTAH,3417734,40.7608,-111.891,0.0295
VERMONT,647464,44.2601,-72.5754,0.0418
VIRGINIA,8715698,37.5407,-77.436,0.4876
WASHINGTON,7812880,47.0379,-122.9007,0.1746
WEST VIRGINIA,1770071,38.3498,-81.6326,0.3926
WISCONSIN,5910955,43.0731,-89.4012,0.0224
WYOMING,584057,41.14,-104.8202,0.26
